1016,Sex Education,2477
1020,Ozark,1877
1043,Two and a half men,1779
1059,Outer Banks,1696
1031,Atypical,1356
1032,Stranger Things,1070
1081,Mr. Robot,1060
1040,The Blacklist,1016
1054,Lucifer,949
1035,Daredevil,910
1056,Dark,873
1019,The Walking Dead,859
1001,Cobra Kai,805
1052,How I met your mother,779
1039,Absentia,747
1038,Demon Slayer,731
1012,The Mentalist,703
1048,Family Guy,693
1066,The Wire,658
1018,Kingdom,630
1017,Dr. House,616
1060,Hanna,573
1003,12 Monkeys,568
1037,One Piece,561
1074,Archer,560
1042,Berlin Station,538
1006,Jack Ryan,521
1028,Queen of the South,510
1015,Chernobyl,506
1070,Shadow and Bone,483
1071,Deception,468
1080,The Stranger,417
1022,Preacher,384
1055,Spartacus,377
1045,Banshee,370
1027,How to get away with murder,369
1021,Constantine,360
1010,Vikings,327
1005,Lost,323
1076,Rick And Morty,322
1090,White Collar,317
1014,Big Little Lies,316
1041,Succession,304
1046,Designated Survivor,297
1086,The Night Manager,291
1064,Mare of Easttown,277
1063,Doctor Who,274
1050,Only Murders in the building,273
1093,Travellers,272
1034,Brooklyn Nine Nine,264
1025,Locke & Key,261
1065,Arrow,253
1084,Emily in Paris,251
1062,The Outsider,243
1061,Alice in Borderland,240
1007,The Flash,234
1036,The Witcher,224
1047,The Boys,217
1013,The Alienist,203
1053,Perception,187
1077,Rome,183
1002,Lupin,174
1096,Punisher,173
1106,Lost in Space,173
1023,The Tick,171
1030,Peaky Blinders,170
1008,Game of thrones,168
1094,Grey's Anatomy,167
1092,Breaking Bad,162
1110,Person of Interest,156
1009,House of Cards,143
1118,Black Clover,141
1051,Ragnarok,136
1085,Haven,128
1029,Better Call Saul,125
1068,Sopranos,117
1105,Supergirl,113
1123,The IT Crowd,110
1142,Madmen,109
1102,The 100,108
1026,Shooter,105
1098,The Innocent,105
1072,Upload,103
1091,Hunters,103
1114,The Expanse,102
1112,Sense 8,100
1097,Prison Break,99
1101,The Umbrella Academy,92
1057,Gotham,90
1146,True Detective,90
1099,Mindhunter,89
1124,Outlander,88
1069,Nine Perfect Strangers,83
1049,The man in the high castle,82
1088,Dr Stone,82
1132,Startup,82
1058,Into the night,80
1011,Fringe,79
1083,The Newsroom,76
1104,Dexter,73
1125,Suits,71
1033,Homeland,68
1075,Mirzapur,68
1107,The Big Bang Theory,67
1073,X-Files,64
1134,Elementary,63
1004,Sherlock,61
1089,The White Lotus,59
1078,Goliath,58
1136,The Wheel of Time,57
1130,Sacred Games,56
1126,Friends,55
1139,The Good Doctor,55
1044,Orphan Black,54
1119,The Nevers,53
1128,The Queen's Gambit,52
1117,Inside Job,51
1127,The Vampire Diaries,51
1079,Bojack Horseman,49
1095,Inhumans,49
1143,Invincible,48
1109,Westworld,44
1113,24,42
1116,Sons of Anarchy,42
1121,Elite,39
1137,Riverdale,39
1067,You,35
1129,Schitts Creek,34
1148,Modern Family,33
1145,Altered Carbon,32
1150,Narcos,32
1151,Loki,31
1135,Squid Game,30
1141,Billions,30
1024,Naruto,28
1115,The Wilds,28
1133,The Handmaid's Tale,27
1122,Love Death Robots,26
1147,American Gods,25
1100,The Office,24
1144,Space Force,22
1154,Another Life,22
1087,Supernatural,19
1149,Death Note,16
1152,Grimm,15
1153,Watchmen,15
1120,Heros,13
1082,The Originals,12
1156,Young Sheldon,11
1140,South Park,10
1111,Euphoria,9
1138,Sneaky Pete,8
1103,Teen Wolf,7
1155,Good Omens,6
1108,His Dark Materials,4
1131,Iron Fist,4
##########,total number of items in dataset => ,42772
